pv_name,rmse,mae,r2,gof,n_train,n_val
pv_8,14.320217802038496,10.3893651434687,0.7423938534076092,84.14403432234026,52049,97
pv_80,14.073384273695867,10.62852724077468,0.7521732343263314,84.68123058017848,52055,97
pv_82,13.96518536290914,10.457258879778927,0.755936843532515,84.79186850233873,52055,97
pv_84,14.576608190231997,10.956815027385645,0.7340699367502388,84.1201941837031,52059,97
pv_86,14.539984507595873,10.919965763067461,0.7359493737436354,84.28008260916404,52049,97
pv_88,14.54453740912715,11.04880448916831,0.7357890290794871,84.27660114563919,52049,97
pv_90,14.488502734361722,10.963282316536018,0.7378084365626071,84.33474463287173,52049,97
pv_92,13.89476095833446,10.502050086407317,0.7588308808504817,84.9709525527371,52049,97
pv_94,14.321690471779402,10.930602144488352,0.7437815311436793,84.50933976561271,52050,97
pv_96,14.120461589309722,10.718792709029215,0.7509142635390773,84.72362250588277,52051,97
pv_98,13.843275416252903,10.649207312197417,0.7605923673453678,85.02287391284527,52052,97
pvfarm1,14.459909403299427,11.2282344731965,0.7414337336590693,85.84268442311273,52050,97
